术语,别名,类别,多标签,备注
角胶,角落补强胶;Corner Reinforcement,工具,结构相关;工艺参数,在结构件角落点胶以增强局部强度，常用于应对跌落应力。
校屏,屏幕校准;Screen Calibration,工具,制造工艺;显示相关,对显示屏的色温、Gamma、均匀性等进行软件校准，保证显示一致性。
解锁,屏幕解锁;Unlock,工具,软件相关;人机交互,测试指纹、人脸、图案等解锁方式的成功率和速度。
浸锡,沾锡;Solder Dipping,工具,工艺参数;PCB,将元件引脚浸入熔融焊锡中以实现焊接的工艺。
静电袋,防静电袋;ESD Bag,工具,物料;ESD,用于包装和运输对静电敏感的元器件。
静电环,防静电手环;ESD Wrist Strap,工具,ESD;制造工艺,操作人员佩戴，将人体静电导入大地，防止损坏电子产品。
开口,钢网开口;Stencil Aperture,工具,工具;SMT,钢网上用于让锡膏通过的孔，其尺寸和形状决定了锡膏的印刷量。
开炉,打开回流焊炉;Open Reflow Oven,工具,SMT;操作,生产开始或换线时，启动回流焊炉并确认其状态的过程。
开模,模具开启;Mold Opening,工具,工具;结构相关,注塑成型中，模具打开以便取出成型产品的动作。
开箱,拆箱;Unboxing,工具,质量体系;项目相关,指OBA（开箱审计），模拟客户首次打开产品包装的体验和检查。
烤机,老化测试;Burn-in Test,工具,可靠性;硬件相关,让手机在特定条件下长时间运行，以提前暴露早期失效的元器件。
磕碰,撞击;Impact,工具,可靠性;外观,模拟产品在日常使用中受到的小范围撞击，评估外壳和内部受损情况。
可制造性,可生产性;Manufacturability,工具,设计;制造工艺,产品设计易于高效、低成本、高质量地制造出来的特性。
客诉,客户投诉;Customer Complaint,工具,质量体系;项目相关,终端用户或客户对产品质量问题的反馈，是质量改进的重要输入。
老化,老化测试;Aging,工具,可靠性,使产品在模拟的或强化的使用条件下运行一段时间，以稳定其性能或筛选缺陷。
冷屏,冷屏点亮;Cold Start Screen,工具,显示相关;可靠性,在低温环境下对屏幕进行点亮测试，检查其响应速度和显示效果。
料带,载带;Carrier Tape,工具,物料;SMT,用于SMT贴片机供料器上承载元件的塑料带。
料号,物料编号;Part Number,工具,物料;项目相关,唯一标识一种物料或部件的编码，是物料管理的基础。
美纹纸,和美胶带;Painter's Tape,工具,制造工艺;防护,在喷涂或点胶时用于遮蔽不需要处理的区域。
模厂,模具厂;Mold Factory,工具,供应链;制造工艺,负责设计和制造注塑模具的供应商。
模切,模具切割;Die Cutting,工具,工艺参数;物料,使用模具对泡棉、胶带等材料进行精密冲切成型。
模温,模具温度;Mold Temperature,工具,工艺参数;注塑,注塑过程中模具的温度，影响塑料的流动性和产品的成型质量。
模流,模流分析;Mold Flow Analysis,工具,设计;制造工艺,通过软件模拟塑料在模具内的流动、保压、冷却过程，预测潜在缺陷。
尼龙,尼龙螺丝;Nylon Screw,部件,部件;结构相关,用于绝缘或防松动的塑料螺丝，扭矩控制不当易滑牙或断裂。
泡棉,导电泡棉;Conductive Foam,部件,部件;EMC,用于填充缝隙、提供缓冲和电磁屏蔽的多孔材料。
喷码,喷墨打标;Inkjet Marking,工具,外观;追溯性,使用喷墨机在产品或标签上打印序列号、生产日期等信息。
气吹,吹气清洁;Air Blowing,工具,操作;清洁,使用压缩气体清除产品表面的灰尘或颗粒物。
清尾,生产线清尾;Line Clearance,工具,流程相关;操作,生产订单结束时，清理生产线上的物料和产品，确保下一订单顺利开始。
取放,拾取与放置;Pick and Place,工具,SMT;操作,贴片机从供料器取料并贴装到PCB上的基本动作。
圈胶,环形点胶;Circular Dispensing,工具,工艺参数;结构相关,以环形轨迹点胶，常用于需要密封的圆形区域。
确认书,工程确认书;Engineering Confirmation,工具,项目相关;质量体系,对设计变更、样品状态等进行正式确认的文件，作为量产依据。
热压,热熔;Heat Staking,工具,工艺参数;结构相关,通过加热和压力使塑料柱销变形，从而固定另一个部件。
热插拔,带电插拔;Hot Plug,工具,硬件相关;可靠性,在手机开机状态下插入或拔出外设（如U盘），测试接口的耐受性。
热风,热风枪;Hot Air,工具,维修;SMT,用于维修焊接的工具，通过喷射热空气来熔化焊锡。
人因,人因工程;Human Factors,工具,设计;人机交互,研究人、机器及环境之间相互作用的学科，旨在优化产品易用性和舒适度。
入网,进网许可;Network Access License,工具,流程相关;法规,在中国大陆市场销售蜂窝通信设备必须获得的官方认证。
三防,防潮、防霉、防盐雾;Three Proofing,工具,可靠性,针对恶劣环境（湿热、霉菌、盐雾）的防护性设计和测试。
上料,物料上料;Loading Material,工具,操作;SMT,将料盘安装到贴片机供料器上的操作。
设变,设计变更;Design Change,工具,项目相关;质量体系,产品开发过程中对已冻结设计的修改，需要严格的流程控制。
射屏,屏幕投射;Screen Casting,工具,软件相关;功能,将手机屏幕内容无线投射到其他显示设备上的功能测试。
深色,暗色模式;Dark Mode,工具,功能;显示相关,系统界面以深色为主色调的显示模式，有助于节省OLED屏幕功耗。
油墨,印刷油墨;Printing Ink,部件,物料;外观,用于丝印、移印等工艺的着色材料，要求附着力、耐磨性好。
预压,预压力;Preload,工具,工艺参数;结构相关,在正式紧固前施加的初始压力，使部件初步就位。
原材,原材料;Raw Material,部件,物料,用于生产产品的基本材料，如塑胶粒、金属板材、化学药水等。
扎带,束线带;Cable Tie,部件,部件;线缆管理,用于捆扎和固定内部线缆的塑料带。
针床,针床测试架;Bed of Nails Fixture,工具,测试验证;ICT,用于在线测试的多针夹具，可同时接触PCB上多个测试点。
真空,真空吸附;Vacuum Suction,工具,工艺参数;SMT,贴片机利用真空吸嘴抓取元器件的原理。
整机,完整手机;Complete Unit,工具,测试验证;项目相关,指装配完整、可正常工作的手机成品。
正压,正压力;Positive Pressure,工具,工艺参数;结构相关,施加于产品表面的压力，如气密性测试时向密封腔体内充气加压。
制具,同治具,工具,制造工艺;测试验证,在生产或测试中用于定位和固定产品的装置。
治具,夹具;Fixture,工具,制造工艺;测试验证,在生产或测试中用于定位和固定产品的装置，其精度直接影响产品一致性。
钟摆,摆动测试;Pendulum Test,工具,可靠性;结构相关,模拟手机在背包或口袋中来回摆动，测试其结构和连接的耐久性。
重工,返工;Rework,工具,流程相关;质量体系,对不合格品进行修复处理，使其符合标准要求的活动。
周波,周波数;Cycle,工具,可靠性,重复性测试的次数，如按键测试XX万次。
注塑,注射成型;Injection Molding,工具,工艺参数;结构相关,将熔融塑料注入模具腔体，冷却后得到塑料制品的工艺。
装框,安装边框;Bezel Assembly,工具,操作;结构相关,将屏幕模组安装到中框或前壳上的工序。
资材,物资材料;Materials,工具,供应链;物料,泛指生产所需的各类物料和资源。
子料,子物料;Sub-material,部件,物料,构成一个成品或半成品所需的多种物料中的一种。
走纸,标签纸走纸;Label Paper Feeding,工具,操作;包装,在自动贴标机上，标签纸卷的正常输送。
组包,包装组装;Packing Assembly,工具,操作;包装,将手机、配件、说明书等装入包装盒的最终工序。
钻孔,PCB钻孔;Drilling,工具,工艺参数;PCB,在PCB上钻取导通孔、安装孔等，精度要求高。
爆破测试,破坏性压力测试,工具,可靠性;安全相关;电池,对电池或密封结构施加远超额定值的压力，直至其破坏，以验证最大承受极限。
金相分析,显微组织分析,工具,可靠性;物料;制造工艺,通过显微镜观察材料的微观组织结构，分析其工艺质量及失效原因。
邦定胶,Underfill；底部填充胶,工具,工艺参数;SMT;可靠性,用于BGA/CSP芯片底部填充的环氧树脂胶，通过毛细作用流入，增强焊点可靠性。
白噪声测试,White Noise Test,工具,可靠性;声学;硬件相关,向扬声器或麦克风输入全频带白噪声，测试其在宽频带下的工作稳定性和可靠性。
导通孔塞孔,Via Plugging,工具,工艺参数;PCB,用树脂或油墨填充导通孔，以便在孔上布线和焊接，对平整度要求高。
模流平衡,Flow Balance,工具,工艺参数;注塑;设计,注塑时熔料能同时到达并充满模具型腔的各个末端，避免滞流和欠注。
点胶轨迹,Dispensing Path,工具,工艺参数;点胶;自动化,点胶机针头运动的路径规划，影响胶水覆盖的准确性和一致性。
等离子处理,Plasma Treatment,工具,工艺参数;表面处理,利用等离子体活化材料表面，显著提高其润湿性和粘接附着力。
溅射镀膜,Sputtering Coating,工具,工艺参数;CMF;硬件相关,在真空环境下用离子轰击靶材，使其原子溅射并沉积到工件表面形成薄膜。
模温机,Mold Temperature Controller,工具,制造工艺;注塑,用于精确控制注塑模具温度的设备，对成型质量至关重要。
热仿真,Thermal Simulation,工具,设计;热管理;软件相关,通过计算机软件模拟产品在工作状态下的温度分布和热流情况。
填胶量,Encapsulation Volume,工具,工艺参数;可靠性;点胶,对芯片进行包封保护时，注入的胶水体积，需确保完全覆盖且无气泡。
盐雾测试,Salt Spray Test,工具,可靠性;CMF;硬件相关,模拟海洋大气环境，测试产品或材料耐腐蚀性能的加速试验方法。
模内注塑,"In-Mold Molding, IMM",工具,工艺参数;结构相关;装饰,将薄膜或织物放入模具内，注塑时塑料将其包覆成一体，实现装饰效果。
导通孔背钻,Back Drilling,工具,工艺参数;PCB;设计,钻掉高速PCB板中不需要的导通孔 stub，以减少信号反射，提升信号完整性。
贴装压力,Placement Pressure,工具,工艺参数;SMT,贴片机贴装元件时，吸嘴对元件施加的压力。压力过大会损伤元件，过小则贴装不稳。
跌落姿态,Drop Orientation,工具,可靠性;结构相关,手机跌落时与冲击面接触的初始角度和部位，对失效模式影响显著。
三综合测试,Combined Environmental Test,工具,可靠性;硬件相关,同时施加温度、湿度和振动三种应力，更真实模拟恶劣环境的测试。
JEDEC托盘,JEDEC Tray,工具,物料;SMT;制造工艺,标准化尺寸的塑料托盘，用于运输和贴片机供料。
模仁,Mold Insert；模具嵌件,工具,制造工艺;注塑,模具中直接形成产品型腔的可更换精密零件。
底部填充,Underfill,工具,工艺参数;SMT;可靠性,同邦定胶。
金丝键合,Gold Wire Bonding,工具,工艺参数;半导体;封装,使用细金线连接芯片焊盘和封装引脚的内互连技术。
电磁仿真,Electromagnetic Simulation,工具,设计;EMC;射频相关,通过计算机软件模拟电磁场的分布和相互作用，用于天线、EMC设计。
导通孔阻焊,"Solder Mask over Via, SMV",工具,工艺参数;PCB,在导通孔上覆盖阻焊层，防止焊锡流入。
激光焊,Laser Welding,工具,工艺参数;结构相关;可靠性,利用高能量激光束作为热源进行熔焊的方法，精度高，热影响区小。
导通孔树脂塞孔,Resin Plugged Via,工具,工艺参数;PCB,使用树脂填充导通孔，是塞孔的一种方式。
热失重,"Thermogravimetric Analysis, TGA",工具,物料;可靠性;测试验证,测量材料质量随温度升高而发生的变化，用于分析热稳定性、成分等。
模流分析,Mold Flow Analysis,工具,设计;制造工艺;注塑,通过CAE软件模拟塑料在模具中的流动、保压、冷却过程，预测缺陷。
真空镀膜,Vacuum Deposition,工具,工艺参数;CMF;硬件相关,在真空环境中通过物理或化学方法在工件表面沉积薄膜的技术总称。
漏测,测试遗漏;Missed Test,工具,质量体系;测试验证,**定义**: 应检项目未执行。 **判定口径**: 测试覆盖率 <100%。 **常见场景**: 产线OBA/功能测试。 **排查路径**: 审核工艺卡→检查治具。 **对策**: 加强自动化测试和流程审核。
频偏,频率偏移;Frequency Offset,工具,通信相关;射频相关,**定义**: 无线发射频率偏离标准值。 **判定口径**: 偏移 >±50ppm。 **常见场景**: OTA测试、极端温度。 **排查路径**: 检查晶振→校准电路。 **对策**: 增加温补电路，改善器件精度。
电池续航不足,续航差;Poor Battery Life,工具,硬件相关;电池,**定义**: 单次充电使用时长不足。 **判定口径**: 使用时长低于标称值 20%。 **常见场景**: 高功耗应用。 **排查路径**: 功耗分析→检查电芯容量。 **对策**: 优化系统调度，提升电池能量密度。
电池容量衰减,电池老化;Battery Aging,工具,电池;可靠性,**定义**: 电池可用容量下降。 **判定口径**: 循环 500 次后容量 <80%。 **常见场景**: 长期使用。 **排查路径**: 读取电池健康数据。 **对策**: 改善材料体系，增加健康监控。
纳米注塑,NMT,工具,工艺参数;结构相关;可靠性,在金属表面通过化学处理形成纳米级微孔，注塑时塑料渗入形成强机械互锁，实现金属与塑料的牢固结合。
点胶高度,针头离板高度,工具,工艺参数;点胶;SMT,点胶针头尖端与PCB表面的距离，影响胶点形状和一致性。
声学密封性,声学气密性,工具,硬件相关;声学;可靠性,扬声器BOX或麦克风腔体的密封程度，直接影响低频响应和灵敏度。
钢板张力,钢网张力,工具,工艺参数;SMT,张紧钢网使其保持平整的力，张力不足会导致印刷时钢网下垂，影响锡膏厚度。
离子污染度,离子洁净度,工具,PCB;可靠性;测试验证,单位面积PCB表面可水解离子的当量浓度，常用NaCl当量表示，要求低于特定阈值（如1.56μg/cm²）。
焊点推拉力,焊点强度测试,工具,可靠性;SMT;硬件相关,使用推拉力测试仪测量单个焊点所能承受的机械强度，用于工艺验证和失效分析。
模流剪切热,剪切生热,工具,工艺参数;注塑;可靠性,塑料熔体在高速流经狭小区域时，因内部分子摩擦产生热量，可能导致材料降解。
天线频段,工作频段,工具,硬件相关;通信相关;设计,"天线能有效工作的频率范围，需覆盖目标市场的所有通信制式（如LTE Band 1, 3, 5...）。"
真空回流焊,真空炉,工具,工艺参数;SMT;可靠性,在真空环境下进行回流焊，能有效消除焊点内部气泡，大幅减少空洞率，提升可靠性。
胶体屈服值,屈服应力,工具,物料;制造工艺;点胶,使胶水开始流动所需的最小剪切应力，影响点胶的起始性和抗塌陷性。
板级可靠性,BLR,工具,可靠性;硬件相关;PCB,针对装配好的PCB进行的可靠性测试，如温度循环、跌落、弯曲等，评估其在实际应用中的寿命。
激光功率密度,能量密度,工具,工艺参数;激光加工,单位面积上的激光能量，决定加工效果（如切割、焊接、打标）的质量和效率。
电化学阻抗谱,EIS,工具,硬件相关;电池;可靠性,通过施加小幅交流电信号测量电池阻抗随频率的变化，用于分析电池健康状态和反应机理。
模内收缩率,体积收缩率,工具,物料;注塑;设计,塑料从熔融状态冷却到固态时的体积变化率，是模具设计时确定收缩补偿系数的依据。
信号眼图,眼图,工具,硬件相关;测试验证;设计,"用于评估高速数字信号质量（如MIPI, USB）的图形化方法，眼图张开度越大，信号质量越好。"
邦定线弧高度,线弧拱高,工具,工艺参数;半导体;封装,键合线最高点与芯片表面的垂直距离，需精确控制以避免与盖板干涉或短路。
导热系数,热导率,工具,物料;热管理;可靠性,材料传导热量的能力，单位W/(m·K)，是选择散热材料的关键参数。
锡膏坍落度,锡膏流变性,工具,物料;SMT;制造工艺,衡量锡膏印刷后保持原有形状、抵抗流动和变形能力的指标。
模流平衡分析,流道平衡,工具,设计;制造工艺;注塑,通过模拟优化流道系统设计，确保各型腔能同时充满，减少产品间的差异。
射频传导骚扰,射频干扰,工具,EMC;可靠性;硬件相关,通过电源线或信号线向外发射的射频噪声，需要满足EMC法规限值。
胶体储能模量,弹性模量,工具,物料;可靠性;点胶,胶粘剂在交变应力下弹性变形分量对应的模量，反映其弹性行为。
高倍率扫描电镜,SEM,工具,测试验证;可靠性;失效分析,利用聚焦电子束扫描样品表面，获得高分辨率形貌图像，用于微观结构观察和失效分析。
模内温度传感器,模温感应器,工具,制造工艺;注塑;测试验证,植入模具内部，用于实时监测型腔表面或内部某点温度的设备。
信号上升时间,Rise Time,工具,硬件相关;设计;测试验证,数字信号从低电平上升到高电平规定比例所需的时间，是信号完整性的关键参数。
邦定第二点,stitch bond,工具,工艺参数;半导体;封装,键合线在引脚或基板焊盘上的连接点，与芯片上的第一点（球焊）相对应。
热重分析仪,TGA,工具,测试验证;物料;可靠性,测量样品质量随温度或时间变化关系的仪器，用于分析热稳定性、分解温度等。
锡膏印刷性,印刷适性,工具,物料;SMT;制造工艺,锡膏通过钢网开口转移到PCB焊盘上的能力，包括填充性、脱模性等。
模流熔接痕强度,熔合线强度,工具,制造工艺;注塑;结构相关,两股熔体前沿相遇形成的熔接痕区域的力学强度，通常低于本体强度。
辐射骚扰场强,辐射发射,工具,EMC;可靠性;硬件相关,设备通过空间向外辐射的电磁噪声场强，需在暗室中测量并满足法规要求。
胶体损耗模量,粘性模量,工具,物料;可靠性;点胶,胶粘剂在交变应力下粘性变形分量对应的模量，反映其粘性耗能行为。
X射线荧光光谱,XRF,工具,测试验证;物料;CMF,利用X射线激发样品元素产生特征荧光，进行成分定性定量分析，用于镀层厚度、材料成分检测。
模内冷却速率,冷却速度,工具,工艺参数;注塑;可靠性,塑胶件在模具内的冷却速度，影响结晶度、内应力和最终尺寸。
阻抗匹配,阻抗控制,工具,硬件相关;射频相关;PCB,使源端、传输线和负载端的阻抗一致，以实现最大功率传输和最小信号反射。
邦定球剪切力,球剪切强度,工具,可靠性;半导体;制造工艺,测量将金球焊点从芯片焊盘上剪切下来所需的力，评估键合界面强度。
锡膏金属粉末粒径,锡粉粒度,工具,物料;SMT;制造工艺,锡膏中合金粉末的尺寸大小及分布，影响印刷分辨率、塌陷性和焊接效果。
模流保压压力,二次压力,工具,工艺参数;注塑,注射完成后，为了补偿塑料收缩而继续施加的压力，对产品尺寸和缩水至关重要。
静电放电抗扰度,ESD Immunity,工具,EMC;可靠性;硬件相关,设备抵御静电放电干扰而不出现性能降级或损坏的能力，需满足IEC 61000-4-2等标准。
胶体tanδ,损耗因子,工具,物料;电气性能;点胶,损耗模量与储能模量的比值，表征胶粘剂在交变电场中能量损耗的大小。
聚焦离子束,FIB,工具,测试验证;可靠性;失效分析,用聚焦的离子束对样品进行纳米级加工、切割和成像，用于芯片电路修改和截面分析。
共模抑制比,CMRR,工具,硬件相关;电气性能;测试验证,衡量差分放大器抑制共模信号（干扰）能力的指标。
邦定线线径,金线直径,工具,工艺参数;半导体;封装,"键合金线的直径，常见有0.8mil, 1.0mil, 1.2mil等，影响电流承载能力和机械强度。"
热循环寿命,温度循环寿命,工具,可靠性;测试验证;硬件相关,产品在规定的温度循环条件下，直到失效所能承受的循环次数。
锡膏触变指数,TI值,工具,物料;SMT;制造工艺,锡膏在低剪切速率和高剪切速率下的粘度比值，衡量其触变性的恢复能力。
模流翘曲预测,变形分析,工具,设计;制造工艺;注塑,通过CAE软件预测注塑件冷却后的翘曲变形趋势，指导模具和产品设计优化。
浪涌抗扰度,雷击测试,工具,EMC;可靠性;硬件相关,设备抵御电网开关瞬变或间接雷击引起的高能量瞬态过电压/过电流的能力。
胶体体积变化率,固化体积收缩,工具,物料;制造工艺;点胶,胶水从液态到完全固化后体积变化的百分比，影响内应力和接合精度。
红外热成像仪,热像仪,工具,测试验证;热管理;可靠性,将物体表面的温度分布转换为可视化的热图，用于定位过热点和分析热分布。
模内气体辅助,气辅注塑,工具,工艺参数;注塑;设计,向熔融塑料中注入高压氮气，推动塑料填充并形成中空截面，可减少缩水、节省材料。
功率循环测试,主动温度循环,工具,可靠性;硬件相关;热管理,通过给器件周期性通断电，使其自身发热和冷却，考核其热疲劳寿命。
锡膏印刷厚度,锡厚,工具,制造工艺;SMT;测试验证,锡膏印刷后留在PCB焊盘上的厚度，通常用螺旋测微计或3D光学扫描仪测量。
电快速瞬变脉冲群,EFT/Burst,工具,EMC;可靠性;硬件相关,模拟继电器触点抖动等产生的成群快速瞬变脉冲干扰，测试设备的抗扰度。
胶体玻璃化转变温度,Tg,工具,物料;可靠性;点胶,同前，胶粘剂的玻璃化转变温度。
超声波扫描显微镜,SAT,工具,测试验证;可靠性;失效分析,利用超声波探测材料内部缺陷（如分层、空洞）的无损检测方法。
模内微发泡,微孔发泡,工具,工艺参数;注塑;结构相关,通过超临界流体在塑料内部产生微米级气泡，减轻重量、减少翘曲和缩水。
电源抑制比,PSRR,工具,硬件相关;电气性能;测试验证,衡量电路（如LDO）抑制电源输入端纹波和噪声传递到输出端的能力。
机械疲劳寿命,疲劳强度,工具,结构相关;可靠性;测试验证,材料或结构在交变应力作用下发生疲劳断裂前所能承受的应力循环次数。
模流冷却分析,冷却系统分析,工具,设计;制造工艺;注塑,模拟模具冷却系统的效率，优化水路布局，缩短周期时间并减少热变形。
电压跌落与中断,电压暂降,工具,EMC;可靠性;硬件相关,模拟电网电压短时下降或中断，测试设备功能的抗干扰性和恢复能力。
胶体热膨胀系数,CTE,工具,物料;结构相关;可靠性,胶粘剂热膨胀系数，与基材匹配可减少热应力。
X射线检测,AXI,工具,测试验证;SMT;制造工艺,自动X射线检测，用于检查BGA、QFN等隐藏焊点的焊接质量，如短路、开路、空洞。
模内变模温技术,快速热循环,工具,工艺参数;注塑;CMF,在注塑前快速加热模具，注射后快速冷却，可消除熔接痕、提升表面光泽度。
时序分析,信号时序,工具,硬件相关;测试验证;软件相关,确保数字系统中相关信号满足建立时间和保持时间的要求，避免时序违规。
锡膏黏度曲线,流变曲线,工具,物料;SMT;制造工艺,锡膏粘度随剪切速率变化的曲线，全面表征其流变特性。
谐波电流发射,电流谐波,工具,EMC;可靠性;硬件相关,设备从电网吸取的电流中除基波外的谐波成分含量，需符合规范以减小对电网污染。
胶体固化动力学,固化反应速率,工具,物料;制造工艺;点胶,研究胶粘剂固化反应速度与温度、时间等条件的关系。
声学扫描显微镜,C-SAM,工具,测试验证;可靠性;失效分析,同超声波扫描显微镜。
抖动,Jitter,工具,硬件相关;测试验证;设计,数字信号边沿相对于其理想时间位置的短期偏移，是高速信号完整性的重要参数。
邦定线弧形状,线弧轮廓,工具,工艺参数;半导体;封装,键合线从芯片到引脚的弧形轨迹，需优化以实现可靠的电气连接和机械稳定性。
电压波动抗扰度,闪烁测试,工具,EMC;可靠性;硬件相关,设备对电网电压波动（如由大功率设备启停引起）的抗干扰能力。
光学轮廓仪,白光干涉仪,工具,测试验证;制造工艺;外观,用于非接触式测量表面形貌、粗糙度、台阶高度等三维轮廓信息。
模内层压,模内贴膜,工具,工艺参数;结构相关;CMF,将装饰性或功能性薄膜在注塑过程中与塑胶件复合。
误码率,BER,工具,硬件相关;测试验证;通信相关,在数字传输系统中，错误比特数与总传输比特数之比，衡量传输可靠性。
锡膏印刷面积比,面积比,工具,设计;SMT;制造工艺,钢网开口面积与孔壁侧面积的比值，经验上大于0.66有利于锡膏释放。
工频磁场抗扰度,磁场抗扰度,工具,EMC;可靠性;硬件相关,设备对50/60Hz电源频率磁场干扰的抵抗能力。
激光共聚焦显微镜,CLSM,工具,测试验证;可靠性;失效分析,利用激光扫描和针孔技术，获得样品不同深度的光学切片，实现三维成像。
模内传感器,智能模具,工具,制造工艺;注塑;测试验证,集成在模具内用于监测压力、温度、位移等参数的传感器总称。
信纳比,SINAD,工具,硬件相关;测试验证;声学,信号+噪声+失真的总功率与噪声+失真的功率之比，衡量音频系统的动态性能。
邦定线弧长度,线弧跨度,工具,工艺参数;半导体;封装,键合线从第一点到第二点的水平投影距离。
红外热成像仪,热像仪,工具,测试验证;热管理;可靠性,将物体表面的温度分布转换为可视化的热图，用于定位过热点和分析热分布。
模内气体辅助,气辅注塑,工具,工艺参数;注塑;设计,向熔融塑料中注入高压氮气，推动塑料填充并形成中空截面，可减少缩水、节省材料。
功率循环测试,主动温度循环,工具,可靠性;硬件相关;热管理,通过给器件周期性通断电，使其自身发热和冷却，考核其热疲劳寿命。
锡膏印刷厚度,锡厚,工具,制造工艺;SMT;测试验证,锡膏印刷后留在PCB焊盘上的厚度，通常用螺旋测微计或3D光学扫描仪测量。
电快速瞬变脉冲群,EFT/Burst,工具,EMC;可靠性;硬件相关,模拟继电器触点抖动等产生的成群快速瞬变脉冲干扰，测试设备的抗扰度。
胶体玻璃化转变温度,Tg,工具,物料;可靠性;点胶,胶粘剂的玻璃化转变温度。
超声波扫描显微镜,SAT,工具,测试验证;可靠性;失效分析,利用超声波探测材料内部缺陷（如分层、空洞）的无损检测方法。
模内微发泡,微孔发泡,工具,工艺参数;注塑;结构相关,通过超临界流体在塑料内部产生微米级气泡，减轻重量、减少翘曲和缩水。
电源抑制比,PSRR,工具,硬件相关;电气性能;测试验证,衡量电路（如LDO）抑制电源输入端纹波和噪声传递到输出端的能力。
机械疲劳寿命,疲劳强度,工具,结构相关;可靠性;测试验证,材料或结构在交变应力作用下发生疲劳断裂前所能承受的应力循环次数。
模流冷却分析,冷却系统分析,工具,设计;制造工艺;注塑,模拟模具冷却系统的效率，优化水路布局，缩短周期时间并减少热变形。
电压跌落与中断,电压暂降,工具,EMC;可靠性;硬件相关,模拟电网电压短时下降或中断，测试设备功能的抗干扰性和恢复能力。
胶体热膨胀系数,CTE,工具,物料;结构相关;可靠性,胶粘剂热膨胀系数，与基材匹配可减少热应力。
X射线检测,AXI,工具,测试验证;SMT;制造工艺,自动X射线检测，用于检查BGA、QFN等隐藏焊点的焊接质量，如短路、开路、空洞。
模内变模温技术,快速热循环,工具,工艺参数;注塑;CMF,在注塑前快速加热模具，注射后快速冷却，可消除熔接痕、提升表面光泽度。
时序分析,信号时序,工具,硬件相关;测试验证;软件相关,确保数字系统中相关信号满足建立时间和保持时间的要求，避免时序违规。
锡膏黏度曲线,流变曲线,工具,物料;SMT;制造工艺,锡膏粘度随剪切速率变化的曲线，全面表征其流变特性。
谐波电流发射,电流谐波,工具,EMC;可靠性;硬件相关,设备从电网吸取的电流中除基波外的谐波成分含量，需符合规范以减小对电网污染。
胶体固化动力学,固化反应速率,工具,物料;制造工艺;点胶,研究胶粘剂固化反应速度与温度、时间等条件的关系。
声学扫描显微镜,C-SAM,工具,测试验证;可靠性;失效分析,同超声波扫描显微镜。
抖动,Jitter,工具,硬件相关;测试验证;设计,数字信号边沿相对于其理想时间位置的短期偏移，是高速信号完整性的重要参数。
邦定线弧形状,线弧轮廓,工具,工艺参数;半导体;封装,键合线从芯片到引脚的弧形轨迹，需优化以实现可靠的电气连接和机械稳定性。
电压波动抗扰度,闪烁测试,工具,EMC;可靠性;硬件相关,设备对电网电压波动（如由大功率设备启停引起）的抗干扰能力。
光学轮廓仪,白光干涉仪,工具,测试验证;制造工艺;外观,用于非接触式测量表面形貌、粗糙度、台阶高度等三维轮廓信息。
模内层压,模内贴膜,工具,工艺参数;结构相关;CMF,将装饰性或功能性薄膜在注塑过程中与塑胶件复合。
误码率,BER,工具,硬件相关;测试验证;通信相关,在数字传输系统中，错误比特数与总传输比特数之比，衡量传输可靠性。
锡膏印刷面积比,面积比,工具,设计;SMT;制造工艺,钢网开口面积与孔壁侧面积的比值，经验上大于0.66有利于锡膏释放。
工频磁场抗扰度,磁场抗扰度,工具,EMC;可靠性;硬件相关,设备对50/60Hz电源频率磁场干扰的抵抗能力。
激光共聚焦显微镜,CLSM,工具,测试验证;可靠性;失效分析,利用激光扫描和针孔技术，获得样品不同深度的光学切片，实现三维成像。
模内传感器,智能模具,工具,制造工艺;注塑;测试验证,集成在模具内用于监测压力、温度、位移等参数的传感器总称。
信纳比,SINAD,工具,硬件相关;测试验证;声学,信号+噪声+失真的总功率与噪声+失真的功率之比，衡量音频系统的动态性能。
邦定线弧长度,线弧跨度,工具,工艺参数;半导体;封装,键合线从第一点到第二点的水平投影距离。
