term,aliases,category,tags,note,source,version
钝化,钝化层;Passivation,Process,PCB;硬件相关,在芯片或PCB表面形成保护层，防止腐蚀和短路，损伤会导致可靠性问题。,dictionary_v1,2025-09-28
多标签,标签;Tag,Tool,软件相关;项目相关,用于对问题、物料或知识进行分类和标记的元数据，便于筛选和管理。,dictionary_v1,2025-09-28
防呆,Poka-Yoke;防错,Process,工具;质量体系,设计一种装置或方法，防止操作员出现错误，是提升直通率的关键。,dictionary_v1,2025-09-28
分板,板边切割;Board Cutting,Process,PCB;工艺参数,将拼板后的PCB分割成单板，方式不当会导致板边毛刺、裂纹或应力损伤。,dictionary_v1,2025-09-28
风枪,热风枪;Hot Air Gun,Tool,SMT;维修,用于维修时加热焊料或拆焊元件的工具，温度和控制精度是关键。,dictionary_v1,2025-09-28
工装,夹具;治具;Fixture,Tool,制造工艺;测试验证,在生产或测试中用于定位和固定产品的装置，其精度直接影响产品一致性。,dictionary_v1,2025-09-28
固件,Firmware,Symptom,功能;部件,写入硬件设备的底层软件，如摄像头固件，版本错误或损坏会导致功能异常。,dictionary_v1,2025-09-28
挂机,待机;Standby,TestCase,可靠性;软件相关,手机在休眠状态下长时间运行，用于测试待机功耗和系统稳定性。,dictionary_v1,2025-09-28
过炉,回流焊;Reflow Soldering,Process,SMT;工艺参数,SMT关键工序，通过加热使锡膏熔化连接元件，温度曲线设置至关重要。,dictionary_v1,2025-09-28
焊锡,锡膏;Solder Paste,Process,SMT;物料,用于焊接的合金材料，其成分、颗粒度和活性影响焊接质量。,dictionary_v1,2025-09-28
合盖,闭合状态;Closed State,TestCase,可靠性;结构相关,针对折叠屏手机，测试在闭合状态下的机构稳定性、缝隙和压力。,dictionary_v1,2025-09-28
烘烤,低温烘烤;Baking,Process,PCB;工艺参数,对受潮的PCB或元件进行烘干，去除湿气，防止回流焊时出现爆米花现象。,dictionary_v1,2025-09-28
红胶,Red Adhesive;红色胶水,Process,SMT;物料,一种用于波峰焊前暂时固定元件的胶水，点胶量和固化程度是关键。,dictionary_v1,2025-09-28
环测,Environmental Test;环境测试,TestCase,可靠性,将手机置于高低温、湿热、振动等模拟环境中，验证其适应能力。,dictionary_v1,2025-09-28
灰阶,Gray Scale;灰度等级,Component,影像相关;性能指标,表示屏幕从黑到白的亮度层次，层次越多，显示效果越细腻。,dictionary_v1,2025-09-28
回流焊,Reflow Soldering;Reflow;再流焊,Process,SMT;制造工艺;工艺参数,通过加热使预涂的锡膏熔化，实现元器件与PCB焊盘连接的工艺。,dictionary_v1,2025-09-28
激活,电池激活;Battery Activation,Process,工艺参数;硬件相关,新电池首次充电的特定流程，以稳定其化学性能，但现在多数锂电已不需要。,dictionary_v1,2025-09-28
机模,Dummy Model;手机模型,Tool,结构相关;项目相关,无功能的手机外观模型，用于早期结构验证、外观评估和营销展示。,dictionary_v1,2025-09-28
激光,Laser Welding;激光焊接,Process,工艺参数;结构相关,使用激光能量进行精密焊接，常用于电池盖、内部结构件，热影响区小。,dictionary_v1,2025-09-28
夹持,夹具夹紧;Clamping,Process,工艺参数;工装,治具对产品的固定力，过小导致位移，过大可能导致产品变形或压伤。,dictionary_v1,2025-09-28
检具,检验治具;Checking Fixture,Tool,测试验证;质量体系,专门用于快速检测产品尺寸或装配效果的工装，提升检验效率和一致性。,dictionary_v1,2025-09-28
胶厚,胶水厚度;Adhesive Thickness,Process,工艺参数;结构相关,点胶或贴合的胶层厚度，影响粘接强度和密封性能。,dictionary_v1,2025-09-28
胶量,Dispensing Volume;点胶量,Process,工艺参数,点胶机每次挤出的胶水体积，是影响粘接效果的关键参数。,dictionary_v1,2025-09-28
角胶,角落补强胶;Corner Reinforcement,Process,工艺参数;结构相关,在结构件角落点胶以增强局部强度，常用于应对跌落应力。,dictionary_v1,2025-09-28
校屏,Screen Calibration;屏幕校准,TestCase,制造工艺;显示相关,对显示屏的色温、Gamma、均匀性等进行软件校准，保证显示一致性。,dictionary_v1,2025-09-28
解锁,屏幕解锁;Unlock,TestCase,人机交互;软件相关,测试指纹、人脸、图案等解锁方式的成功率和速度。,dictionary_v1,2025-09-28
浸锡,沾锡;Solder Dipping,Process,PCB;工艺参数,将元件引脚浸入熔融焊锡中以实现焊接的工艺。,dictionary_v1,2025-09-28
静电袋,防静电袋;ESD Bag,Tool,ESD;物料,用于包装和运输对静电敏感的元器件。,dictionary_v1,2025-09-28
静电环,ESD Wrist Strap;防静电手环,Tool,ESD;制造工艺,操作人员佩戴，将人体静电导入大地，防止损坏电子产品。,dictionary_v1,2025-09-28
开口,钢网开口;Stencil Aperture,Process,SMT;工具,钢网上用于让锡膏通过的孔，其尺寸和形状决定了锡膏的印刷量。,dictionary_v1,2025-09-28
开炉,Open Reflow Oven;打开回流焊炉,Process,SMT;操作,生产开始或换线时，启动回流焊炉并确认其状态的过程。,dictionary_v1,2025-09-28
开模,模具开启;Mold Opening,Process,工具;结构相关,注塑成型中，模具打开以便取出成型产品的动作。,dictionary_v1,2025-09-28
开箱,拆箱;Unboxing,TestCase,质量体系;项目相关,指OBA（开箱审计），模拟客户首次打开产品包装的体验和检查。,dictionary_v1,2025-09-28
烤机,老化测试;Burn-in Test,TestCase,可靠性;硬件相关,让手机在特定条件下长时间运行，以提前暴露早期失效的元器件。,dictionary_v1,2025-09-28
磕碰,撞击;Impact,TestCase,可靠性;外观,模拟产品在日常使用中受到的小范围撞击，评估外壳和内部受损情况。,dictionary_v1,2025-09-28
可制造性,可生产性;Manufacturability,Process,制造工艺;设计,产品设计易于高效、低成本、高质量地制造出来的特性。,dictionary_v1,2025-09-28
客诉,Customer Complaint;客户投诉,Role,质量体系;项目相关,终端用户或客户对产品质量问题的反馈，是质量改进的重要输入。,dictionary_v1,2025-09-28
老化,Aging;老化测试,TestCase,可靠性,使产品在模拟的或强化的使用条件下运行一段时间，以稳定其性能或筛选缺陷。,dictionary_v1,2025-09-28
冷屏,Cold Start Screen;冷屏点亮,TestCase,可靠性;显示相关,在低温环境下对屏幕进行点亮测试，检查其响应速度和显示效果。,dictionary_v1,2025-09-28
料带,载带;Carrier Tape,Process,SMT;物料,用于SMT贴片机供料器上承载元件的塑料带。,dictionary_v1,2025-09-28
料号,物料编号;Part Number,Tool,物料;项目相关,唯一标识一种物料或部件的编码，是物料管理的基础。,dictionary_v1,2025-09-28
美纹纸,和美胶带,Tool,制造工艺;防护,在喷涂或点胶时用于遮蔽不需要处理的区域。,dictionary_v1,2025-09-28
模厂,模具厂;Mold Factory,Role,供应链;制造工艺,负责设计和制造注塑模具的供应商。,dictionary_v1,2025-09-28
模切,Die Cutting;模具切割,Process,工艺参数;物料,使用模具对泡棉、胶带等材料进行精密冲切成型。,dictionary_v1,2025-09-28
模温,Mold Temperature;模具温度,Process,工艺参数;注塑,注塑过程中模具的温度，影响塑料的流动性和产品的成型质量。,dictionary_v1,2025-09-28
模流,模流分析;Mold Flow Analysis,Tool,制造工艺;设计,通过软件模拟塑料在模具内的流动、保压、冷却过程，预测潜在缺陷。,dictionary_v1,2025-09-28
尼龙,Nylon Screw;尼龙螺丝,Material,结构相关;部件,用于绝缘或防松动的塑料螺丝，扭矩控制不当易滑牙或断裂。,dictionary_v1,2025-09-28
喷码,Inkjet Marking;喷墨打标,Process,外观;追溯性,使用喷墨机在产品或标签上打印序列号、生产日期等信息。,dictionary_v1,2025-09-28
气吹,Air Blowing;吹气清洁,Process,操作;清洁,使用压缩气体清除产品表面的灰尘或颗粒物。,dictionary_v1,2025-09-28
清尾,Line Clearance;生产线清尾,Process,操作;流程相关,生产订单结束时，清理生产线上的物料和产品，确保下一订单顺利开始。,dictionary_v1,2025-09-28
取放,Pick and Place;拾取与放置,Process,SMT;操作,贴片机从供料器取料并贴装到PCB上的基本动作。,dictionary_v1,2025-09-28
圈胶,Circular Dispensing;环形点胶,Process,工艺参数;结构相关,以环形轨迹点胶，常用于需要密封的圆形区域。,dictionary_v1,2025-09-28
确认书,工程确认书;Engineering Confirmation,Process,质量体系;项目相关,对设计变更、样品状态等进行正式确认的文件，作为量产依据。,dictionary_v1,2025-09-28
热压,热熔;Heat Staking,Process,工艺参数;结构相关,通过加热和压力使塑料柱销变形，从而固定另一个部件。,dictionary_v1,2025-09-28
热插拔,Hot Plug;带电插拔,TestCase,可靠性;硬件相关,在手机开机状态下插入或拔出外设（如U盘），测试接口的耐受性。,dictionary_v1,2025-09-28
热风,Hot Air;热风枪,Tool,SMT;维修,用于维修焊接的工具，通过喷射热空气来熔化焊锡。,dictionary_v1,2025-09-28
人因,人因工程;Human Factors,Component,人机交互;设计,研究人、机器及环境之间相互作用的学科，旨在优化产品易用性和舒适度。,dictionary_v1,2025-09-28
入网,进网许可;Network Access License,Process,法规;流程相关,在中国大陆市场销售蜂窝通信设备必须获得的官方认证。,dictionary_v1,2025-09-28
三防,Three Proofing;防潮;防盐雾;防霉,TestCase,可靠性,针对恶劣环境（湿热、霉菌、盐雾）的防护性设计和测试。,dictionary_v1,2025-09-28
上料,物料上料;Loading Material,Process,SMT;操作,将料盘安装到贴片机供料器上的操作。,dictionary_v1,2025-09-28
设变,Design Change;设计变更,Process,质量体系;项目相关,产品开发过程中对已冻结设计的修改，需要严格的流程控制。,dictionary_v1,2025-09-28
射屏,Screen Casting;屏幕投射,TestCase,功能;软件相关,将手机屏幕内容无线投射到其他显示设备上的功能测试。,dictionary_v1,2025-09-28
深色,暗色模式;Dark Mode,Component,功能;显示相关,系统界面以深色为主色调的显示模式，有助于节省OLED屏幕功耗。,dictionary_v1,2025-09-28
油墨,Printing Ink;印刷油墨,Material,外观;物料,用于丝印、移印等工艺的着色材料，要求附着力、耐磨性好。,dictionary_v1,2025-09-28
预压,预压力;Preload,Process,工艺参数;结构相关,在正式紧固前施加的初始压力，使部件初步就位。,dictionary_v1,2025-09-28
原材,原材料;Raw Material,Material,物料,用于生产产品的基本材料，如塑胶粒、金属板材、化学药水等。,dictionary_v1,2025-09-28
扎带,Cable Tie;束线带,Material,线缆管理;部件,用于捆扎和固定内部线缆的塑料带。,dictionary_v1,2025-09-28
真空,真空吸附;Vacuum Suction,Process,SMT;工艺参数,贴片机利用真空吸嘴抓取元器件的原理。,dictionary_v1,2025-09-28
整机,完整手机;Complete Unit,Tool,测试验证;项目相关,指装配完整、可正常工作的手机成品。,dictionary_v1,2025-09-28
正压,Positive Pressure;正压力,Process,工艺参数;结构相关,施加于产品表面的压力，如气密性测试时向密封腔体内充气加压。,dictionary_v1,2025-09-28
制具,同治具,Tool,制造工艺;测试验证,在生产或测试中用于定位和固定产品的装置。,dictionary_v1,2025-09-28
治具,夹具;Fixture,Tool,制造工艺;测试验证,在生产或测试中用于定位和固定产品的装置，其精度直接影响产品一致性。,dictionary_v1,2025-09-28
钟摆,Pendulum Test;摆动测试,TestCase,可靠性;结构相关,模拟手机在背包或口袋中来回摆动，测试其结构和连接的耐久性。,dictionary_v1,2025-09-28
重工,返工;Rework,Process,流程相关;质量体系,对不合格品进行修复处理，使其符合标准要求的活动。,dictionary_v1,2025-09-28
周波,周波数;Cycle,TestCase,可靠性,重复性测试的次数，如按键测试XX万次。,dictionary_v1,2025-09-28
注塑,Injection Molding;注射成型,Process,工艺参数;结构相关,将熔融塑料注入模具腔体，冷却后得到塑料制品的工艺。,dictionary_v1,2025-09-28
装框,Bezel Assembly;安装边框,Process,操作;结构相关,将屏幕模组安装到中框或前壳上的工序。,dictionary_v1,2025-09-28
资材,物资材料;Materials,Role,供应链;物料,泛指生产所需的各类物料和资源。,dictionary_v1,2025-09-28
子料,子物料;Sub-material,Material,物料,构成一个成品或半成品所需的多种物料中的一种。,dictionary_v1,2025-09-28
走纸,Label Paper Feeding;标签纸走纸,Process,包装;操作,在自动贴标机上，标签纸卷的正常输送。,dictionary_v1,2025-09-28
组包,包装组装;Packing Assembly,Process,包装;操作,将手机、配件、说明书等装入包装盒的最终工序。,dictionary_v1,2025-09-28
钻孔,PCB钻孔;Drilling,Process,PCB;工艺参数,在PCB上钻取导通孔、安装孔等，精度要求高。,dictionary_v1,2025-09-28
爆破测试,破坏性压力测试,TestCase,可靠性;安全相关;电池,对电池或密封结构施加远超额定值的压力，直至其破坏，以验证最大承受极限。,dictionary_v1,2025-09-28
金相分析,显微组织分析,TestCase,制造工艺;可靠性;物料,通过显微镜观察材料的微观组织结构，分析其工艺质量及失效原因。,dictionary_v1,2025-09-28
邦定胶,底部填充胶;Underfill,Process,SMT;可靠性;工艺参数,用于BGA/CSP芯片底部填充的环氧树脂胶，通过毛细作用流入，增强焊点可靠性。,dictionary_v1,2025-09-28
白噪声测试,White Noise Test,TestCase,可靠性;声学;硬件相关,向扬声器或麦克风输入全频带白噪声，测试其在宽频带下的工作稳定性和可靠性。,dictionary_v1,2025-09-28
导通孔塞孔,Via Plugging,Process,PCB;工艺参数,用树脂或油墨填充导通孔，以便在孔上布线和焊接，对平整度要求高。,dictionary_v1,2025-09-28
模流平衡,Flow Balance,Process,工艺参数;注塑;设计,注塑时熔料能同时到达并充满模具型腔的各个末端，避免滞流和欠注。,dictionary_v1,2025-09-28
点胶轨迹,Dispensing Path,Process,工艺参数;点胶;自动化,点胶机针头运动的路径规划，影响胶水覆盖的准确性和一致性。,dictionary_v1,2025-09-28
等离子处理,Plasma Treatment,Process,工艺参数;表面处理,利用等离子体活化材料表面，显著提高其润湿性和粘接附着力。,dictionary_v1,2025-09-28
溅射镀膜,Sputtering Coating,Process,CMF;工艺参数;硬件相关,在真空环境下用离子轰击靶材，使其原子溅射并沉积到工件表面形成薄膜。,dictionary_v1,2025-09-28
模温机,Mold Temperature Controller,Tool,制造工艺;注塑,用于精确控制注塑模具温度的设备，对成型质量至关重要。,dictionary_v1,2025-09-28
热仿真,Thermal Simulation,Tool,热管理;设计;软件相关,通过计算机软件模拟产品在工作状态下的温度分布和热流情况。,dictionary_v1,2025-09-28
填胶量,Encapsulation Volume,Process,可靠性;工艺参数;点胶,对芯片进行包封保护时，注入的胶水体积，需确保完全覆盖且无气泡。,dictionary_v1,2025-09-28
盐雾测试,Salt Spray Test;盐雾试验,TestCase,CMF;可靠性;测试验证;硬件相关,模拟海洋大气环境，测试产品或材料耐腐蚀性能的加速试验方法。,dictionary_v1,2025-09-28
模内注塑,In-Mold Molding;IMM,Process,工艺参数;结构相关;装饰,将薄膜或织物放入模具内，注塑时塑料将其包覆成一体，实现装饰效果。,dictionary_v1,2025-09-28
导通孔背钻,Back Drilling,Process,PCB;工艺参数;设计,钻掉高速PCB板中不需要的导通孔 stub，以减少信号反射，提升信号完整性。,dictionary_v1,2025-09-28
贴装压力,Placement Pressure,Process,SMT;工艺参数,贴片机贴装元件时，吸嘴对元件施加的压力。压力过大会损伤元件，过小则贴装不稳。,dictionary_v1,2025-09-28
跌落姿态,Drop Orientation,TestCase,可靠性;结构相关,手机跌落时与冲击面接触的初始角度和部位，对失效模式影响显著。,dictionary_v1,2025-09-28
三综合测试,Combined Environmental Test,TestCase,可靠性;硬件相关,同时施加温度、湿度和振动三种应力，更真实模拟恶劣环境的测试。,dictionary_v1,2025-09-28
JEDEC托盘,JEDEC Tray,Tool,SMT;制造工艺;物料,标准化尺寸的塑料托盘，用于运输和贴片机供料。,dictionary_v1,2025-09-28
模仁,模具嵌件;Mold Insert,Tool,制造工艺;注塑,模具中直接形成产品型腔的可更换精密零件。,dictionary_v1,2025-09-28
底部填充,Underfill,Process,SMT;可靠性;工艺参数,同邦定胶。,dictionary_v1,2025-09-28
金丝键合,Gold Wire Bonding,Process,半导体;封装;工艺参数,使用细金线连接芯片焊盘和封装引脚的内互连技术。,dictionary_v1,2025-09-28
电磁仿真,Electromagnetic Simulation,Tool,EMC;射频相关;设计,通过计算机软件模拟电磁场的分布和相互作用，用于天线、EMC设计。,dictionary_v1,2025-09-28
导通孔阻焊,SMV;Solder Mask over Via,Process,PCB;工艺参数,在导通孔上覆盖阻焊层，防止焊锡流入。,dictionary_v1,2025-09-28
激光焊,Laser Welding,Process,可靠性;工艺参数;结构相关,利用高能量激光束作为热源进行熔焊的方法，精度高，热影响区小。,dictionary_v1,2025-09-28
导通孔树脂塞孔,Resin Plugged Via;树脂填孔,Process,PCB;制造工艺;工艺参数,使用绝缘树脂填充PCB导通孔为表面布线提供平坦化基础,dictionary_v1,2025-09-28
热失重,TGA;Thermogravimetric Analysis,TestCase,可靠性;测试验证;物料,测量材料质量随温度升高而发生的变化，用于分析热稳定性、成分等。,dictionary_v1,2025-09-28
模流分析,Mold Flow Analysis,Tool,制造工艺;注塑;设计,通过CAE软件模拟塑料在模具中的流动、保压、冷却过程，预测缺陷。,dictionary_v1,2025-09-28
真空镀膜,Vacuum Deposition,Process,CMF;工艺参数;硬件相关,在真空环境中通过物理或化学方法在工件表面沉积薄膜的技术总称。,dictionary_v1,2025-09-28
漏测,测试遗漏;Missed Test,Process,测试验证;质量体系,**定义**: 应检项目未执行。 **判定口径**: 测试覆盖率 <100%。 **常见场景**: 产线OBA/功能测试。 **排查路径**: 审核工艺卡→检查治具。 **对策**: 加强自动化测试和流程审核。,dictionary_v1,2025-09-28
频偏,频率偏移;Frequency Offset,Metric,射频相关;通信相关,**定义**: 无线发射频率偏离标准值。 **判定口径**: 偏移 >±50ppm。 **常见场景**: OTA测试、极端温度。 **排查路径**: 检查晶振→校准电路。 **对策**: 增加温补电路，改善器件精度。,dictionary_v1,2025-09-28
电池容量衰减,Battery Aging;电池老化,Metric,可靠性;电池,**定义**: 电池可用容量下降。 **判定口径**: 循环 500 次后容量 <80%。 **常见场景**: 长期使用。 **排查路径**: 读取电池健康数据。 **对策**: 改善材料体系，增加健康监控。,dictionary_v1,2025-09-28
纳米注塑,NMT,Process,制造工艺;可靠性;工艺参数;结构相关,在金属表面通过化学处理形成纳米级微孔，注塑时塑料渗入形成强机械互锁，实现金属与塑料的牢固结合。,dictionary_v1,2025-09-28
点胶高度,针头离板高度,Process,SMT;工艺参数;点胶,点胶针头尖端与PCB表面的距离，影响胶点形状和一致性。,dictionary_v1,2025-09-28
声学密封性,声学气密性,Metric,可靠性;声学;硬件相关,扬声器BOX或麦克风腔体的密封程度，直接影响低频响应和灵敏度。,dictionary_v1,2025-09-28
钢板张力,钢网张力,Process,SMT;工艺参数,张紧钢网使其保持平整的力，张力不足会导致印刷时钢网下垂，影响锡膏厚度。,dictionary_v1,2025-09-28
离子污染度,离子洁净度,Metric,PCB;可靠性;测试验证,单位面积PCB表面可水解离子的当量浓度，常用NaCl当量表示，要求低于特定阈值（如1.56μg/cm²）。,dictionary_v1,2025-09-28
焊点推拉力,焊点强度测试,TestCase,SMT;可靠性;硬件相关,使用推拉力测试仪测量单个焊点所能承受的机械强度，用于工艺验证和失效分析。,dictionary_v1,2025-09-28
模流剪切热,剪切生热,Process,可靠性;工艺参数;注塑,塑料熔体在高速流经狭小区域时，因内部分子摩擦产生热量，可能导致材料降解。,dictionary_v1,2025-09-28
天线频段,工作频段,Metric,硬件相关;设计;通信相关,"天线能有效工作的频率范围，需覆盖目标市场的所有通信制式（如LTE Band 1, 3, 5...）。",dictionary_v1,2025-09-28
真空回流焊,真空炉,Process,SMT;可靠性;工艺参数,在真空环境下进行回流焊，能有效消除焊点内部气泡，大幅减少空洞率，提升可靠性。,dictionary_v1,2025-09-28
胶体屈服值,屈服应力,Metric,制造工艺;点胶;物料,使胶水开始流动所需的最小剪切应力，影响点胶的起始性和抗塌陷性。,dictionary_v1,2025-09-28
板级可靠性,BLR,TestCase,PCB;可靠性;硬件相关,针对装配好的PCB进行的可靠性测试，如温度循环、跌落、弯曲等，评估其在实际应用中的寿命。,dictionary_v1,2025-09-28
激光功率密度,能量密度,Process,工艺参数;激光加工,单位面积上的激光能量，决定加工效果（如切割、焊接、打标）的质量和效率。,dictionary_v1,2025-09-28
电化学阻抗谱,EIS,TestCase,可靠性;电池;硬件相关,通过施加小幅交流电信号测量电池阻抗随频率的变化，用于分析电池健康状态和反应机理。,dictionary_v1,2025-09-28
模内收缩率,体积收缩率,Metric,注塑;物料;设计,塑料从熔融状态冷却到固态时的体积变化率，是模具设计时确定收缩补偿系数的依据。,dictionary_v1,2025-09-28
信号眼图,眼图,Metric,测试验证;硬件相关;设计,"用于评估高速数字信号质量（如MIPI, USB）的图形化方法，眼图张开度越大，信号质量越好。",dictionary_v1,2025-09-28
邦定线弧高度,线弧拱高,Process,半导体;封装;工艺参数,键合线最高点与芯片表面的垂直距离，需精确控制以避免与盖板干涉或短路。,dictionary_v1,2025-09-28
导热系数,热导率,Metric,可靠性;热管理;物料,材料传导热量的能力，单位W/(m·K)，是选择散热材料的关键参数。,dictionary_v1,2025-09-28
锡膏坍落度,锡膏流变性,Metric,SMT;制造工艺;物料,衡量锡膏印刷后保持原有形状、抵抗流动和变形能力的指标。,dictionary_v1,2025-09-28
模流平衡分析,流道平衡,Tool,制造工艺;注塑;设计,通过模拟优化流道系统设计，确保各型腔能同时充满，减少产品间的差异。,dictionary_v1,2025-09-28
射频传导骚扰,射频干扰,TestCase,EMC;可靠性;硬件相关,通过电源线或信号线向外发射的射频噪声，需要满足EMC法规限值。,dictionary_v1,2025-09-28
胶体储能模量,弹性模量,Metric,可靠性;点胶;物料,胶粘剂在交变应力下弹性变形分量对应的模量，反映其弹性行为。,dictionary_v1,2025-09-28
高倍率扫描电镜,SEM,Tool,可靠性;失效分析;测试验证,利用聚焦电子束扫描样品表面，获得高分辨率形貌图像，用于微观结构观察和失效分析。,dictionary_v1,2025-09-28
模内温度传感器,模温感应器,Tool,制造工艺;注塑;测试验证,植入模具内部，用于实时监测型腔表面或内部某点温度的设备。,dictionary_v1,2025-09-28
信号上升时间,Rise Time,Metric,测试验证;硬件相关;设计,数字信号从低电平上升到高电平规定比例所需的时间，是信号完整性的关键参数。,dictionary_v1,2025-09-28
邦定第二点,stitch bond,Process,半导体;封装;工艺参数,键合线在引脚或基板焊盘上的连接点，与芯片上的第一点（球焊）相对应。,dictionary_v1,2025-09-28
热重分析仪,TGA,Tool,可靠性;测试验证;物料,测量样品质量随温度或时间变化关系的仪器，用于分析热稳定性、分解温度等。,dictionary_v1,2025-09-28
锡膏印刷性,印刷适性,Metric,SMT;制造工艺;物料,锡膏通过钢网开口转移到PCB焊盘上的能力，包括填充性、脱模性等。,dictionary_v1,2025-09-28
模流熔接痕强度,熔合线强度,Metric,制造工艺;注塑;结构相关,两股熔体前沿相遇形成的熔接痕区域的力学强度，通常低于本体强度。,dictionary_v1,2025-09-28
辐射骚扰场强,辐射发射,TestCase,EMC;可靠性;硬件相关,设备通过空间向外辐射的电磁噪声场强，需在暗室中测量并满足法规要求。,dictionary_v1,2025-09-28
胶体损耗模量,粘性模量,Metric,可靠性;点胶;物料,胶粘剂在交变应力下粘性变形分量对应的模量，反映其粘性耗能行为。,dictionary_v1,2025-09-28
X射线荧光光谱,XRF,Tool,CMF;测试验证;物料,利用X射线激发样品元素产生特征荧光，进行成分定性定量分析，用于镀层厚度、材料成分检测。,dictionary_v1,2025-09-28
模内冷却速率,冷却速度,Process,可靠性;工艺参数;注塑,塑胶件在模具内的冷却速度，影响结晶度、内应力和最终尺寸。,dictionary_v1,2025-09-28
阻抗匹配,阻抗控制,Component,PCB;射频相关;硬件相关,使源端、传输线和负载端的阻抗一致，以实现最大功率传输和最小信号反射。,dictionary_v1,2025-09-28
邦定球剪切力,球剪切强度,TestCase,制造工艺;半导体;可靠性,测量将金球焊点从芯片焊盘上剪切下来所需的力，评估键合界面强度。,dictionary_v1,2025-09-28
锡膏金属粉末粒径,锡粉粒度,Metric,SMT;制造工艺;物料,锡膏中合金粉末的尺寸大小及分布，影响印刷分辨率、塌陷性和焊接效果。,dictionary_v1,2025-09-28
模流保压压力,二次压力,Process,工艺参数;注塑,注射完成后，为了补偿塑料收缩而继续施加的压力，对产品尺寸和缩水至关重要。,dictionary_v1,2025-09-28
静电放电抗扰度,ESD Immunity,TestCase,EMC;可靠性;法规;测试验证;硬件相关,设备抵御静电放电干扰而不出现性能降级或损坏的能力，需满足IEC 61000-4-2等标准。,dictionary_v1,2025-09-28
胶体tanδ,损耗因子,Metric,点胶;物料;电气性能,损耗模量与储能模量的比值，表征胶粘剂在交变电场中能量损耗的大小。,dictionary_v1,2025-09-28
聚焦离子束,FIB,Tool,可靠性;失效分析;测试验证,用聚焦的离子束对样品进行纳米级加工、切割和成像，用于芯片电路修改和截面分析。,dictionary_v1,2025-09-28
共模抑制比,CMRR,Metric,测试验证;电气性能;硬件相关,衡量差分放大器抑制共模信号（干扰）能力的指标。,dictionary_v1,2025-09-28
邦定线线径,金线直径,Process,半导体;封装;工艺参数,"键合金线的直径，常见有0.8mil, 1.0mil, 1.2mil等，影响电流承载能力和机械强度。",dictionary_v1,2025-09-28
热循环寿命,温度循环寿命,Metric,可靠性;测试验证;硬件相关,产品在规定的温度循环条件下，直到失效所能承受的循环次数。,dictionary_v1,2025-09-28
锡膏触变指数,TI值,Metric,SMT;制造工艺;物料,锡膏在低剪切速率和高剪切速率下的粘度比值，衡量其触变性的恢复能力。,dictionary_v1,2025-09-28
模流翘曲预测,变形分析,Tool,制造工艺;注塑;设计,通过CAE软件预测注塑件冷却后的翘曲变形趋势，指导模具和产品设计优化。,dictionary_v1,2025-09-28
浪涌抗扰度,雷击测试,TestCase,EMC;可靠性;法规;测试验证;硬件相关,设备抵御电网开关瞬变或间接雷击引起的高能量瞬态过电压/过电流的能力。,dictionary_v1,2025-09-28
胶体体积变化率,固化体积收缩,Metric,制造工艺;点胶;物料,胶水从液态到完全固化后体积变化的百分比，影响内应力和接合精度。,dictionary_v1,2025-09-28
红外热成像仪,热像仪,Tool,可靠性;测试验证;热管理,将物体表面的温度分布转换为可视化的热图，用于定位过热点和分析热分布。,dictionary_v1,2025-09-28
模内气体辅助,气辅注塑,Process,工艺参数;注塑;设计,向熔融塑料中注入高压氮气，推动塑料填充并形成中空截面，可减少缩水、节省材料。,dictionary_v1,2025-09-28
功率循环测试,主动温度循环,TestCase,可靠性;热管理;硬件相关,通过给器件周期性通断电，使其自身发热和冷却，考核其热疲劳寿命。,dictionary_v1,2025-09-28
锡膏印刷厚度,锡厚,Metric,SMT;制造工艺;测试验证,锡膏印刷后留在PCB焊盘上的厚度，通常用螺旋测微计或3D光学扫描仪测量。,dictionary_v1,2025-09-28
电快速瞬变脉冲群,EFT/Burst,TestCase,EMC;可靠性;硬件相关,模拟继电器触点抖动等产生的成群快速瞬变脉冲干扰，测试设备的抗扰度。,dictionary_v1,2025-09-28
胶体玻璃化转变温度,Tg,Metric,可靠性;点胶;物料,同前，胶粘剂的玻璃化转变温度。,dictionary_v1,2025-09-28
超声波扫描显微镜,SAT,Tool,可靠性;失效分析;测试验证,利用超声波探测材料内部缺陷（如分层、空洞）的无损检测方法。,dictionary_v1,2025-09-28
模内微发泡,微孔发泡,Process,工艺参数;注塑;结构相关,通过超临界流体在塑料内部产生微米级气泡，减轻重量、减少翘曲和缩水。,dictionary_v1,2025-09-28
电源抑制比,PSRR,Metric,测试验证;电气性能;硬件相关,衡量电路（如LDO）抑制电源输入端纹波和噪声传递到输出端的能力。,dictionary_v1,2025-09-28
机械疲劳寿命,疲劳强度,Metric,可靠性;测试验证;结构相关,材料或结构在交变应力作用下发生疲劳断裂前所能承受的应力循环次数。,dictionary_v1,2025-09-28
模流冷却分析,冷却系统分析,Tool,制造工艺;注塑;设计,模拟模具冷却系统的效率，优化水路布局，缩短周期时间并减少热变形。,dictionary_v1,2025-09-28
电压跌落与中断,电压暂降,TestCase,EMC;可靠性;硬件相关,模拟电网电压短时下降或中断，测试设备功能的抗干扰性和恢复能力。,dictionary_v1,2025-09-28
胶体热膨胀系数,CTE,Metric,可靠性;物料;结构相关,胶粘剂热膨胀系数，与基材匹配可减少热应力。,dictionary_v1,2025-09-28
